,name,country,latitude,longitude
0,Hong Kong,Hong Kong,22.351958323000076,114.1193859870001
1,Bangkok,Thailand,13.75,100.5166702
2,London,United Kingdom of Great Britain and Northern Ireland,51.507408346000034,-0.12769887399997515
3,Macau,Macao,22.15781845400005,113.56035235900003
4,Singapore,Singapore,1.2908800000000724,103.85239000000007
5,Paris,France,48.85341,2.3487999
6,Dubai,United Arab Emirates,25.269510000000025,55.30884000000003
7,New York,United States of America,40.714540000000056,-74.00711999999999
8,Kuala Lumpur,Maldives,3.1666667,101.6999969
9,Istanbul,Turkey,41.013843,28.9496613
10,Delhi,India,28.6666667,77.2166672
11,Antalya,Turkey,36.9125,30.6897221
12,Shenzhen,China,22.5455377,114.0682983
13,Mumbai,India,19.01441,72.8479385
14,Phuket,Thailand,7.8833333,98.4000015
15,Rome,Italy,41.9,12.4833336
16,Tokyo,Japan,35.6895266,139.6916809
17,Pattaya,Thailand,12.949372567011153,100.89290500251997
18,Taipei Taiwan,Taiwan,25.037370000000067,121.56355000000008
19,Mecca,Saudi Arabia,21.421110000000056,39.82221000000004
20,Guangzhou,China,23.1166667,113.25
21,Prague,Czechia,50.07914000000005,14.432990000000075
22,Medina,Saudi Arabia,24.467280000000073,39.60641000000004
23,Seoul,"Korea, South",37.5663889,126.9997253
24,Amsterdam,Netherlands,52.373084,4.8999023
25,Agra,India,27.1833333,78.0166702
26,Miami,United States,25.7742658,-80.1936569
27,Osaka,Japan,34.6937398,135.502182
28,Los Angeles,United States of America,34.053570000000036,-118.24544999999995
29,Shanghai,China,31.2222222,121.4580536
30,Ho Chi Minh,Viet Nam,10.776410000000055,106.70111000000009
31,Denpasar,Indonesia,-8.65,115.2166672
32,Barcelona,Spain,41.388040000000046,2.1700100000000475
33,Las Vegas,United States of America,36.17193000000003,-115.14000999999996
34,Milan,Italy,45.46796000000006,9.18178000000006
35,Chennai,India,13.0878385,80.2784729
36,Vienna,Austria,48.202630000000056,16.36842000000007
37,Johor Bahru,Maldives,1.4666667,103.75
38,Jaipur,India,26.9166667,75.8166656
39,Cancun,Mexico,21.1742876,-86.8465576
40,Berlin,Germany,52.51604000000003,13.376910000000066
41,Cairo,Egypt,30.04427000000004,31.235250000000065
42,Athens,Greece,37.9833333,23.7333336
43,Orlando,United States,28.5383355,-81.3792343
44,Moscow,Russia,55.7522222,37.6155548
45,Venice,Italy,45.4386111,12.3266668
46,Madrid,Spain,40.41955000000007,-3.6919599999999377
47,Ha Long,Vietnam,20.9511111,107.0800018
48,Riyadh,Saudi Arabia,24.68204000000003,46.68725000000006
49,Dublin,Ireland,53.3330556,-6.248889
50,Florence,Italy,43.7666667,11.25
51,Ha Noi Vietnam,Viet Nam,21.028880000000072,105.85464000000007
52,Toronto,Canada,43.7001138,-79.4163055
53,Johannesburg,South Africa,-26.2,28.083334
54,Sydney,Australia,-33.86785,151.2073212
55,Munich,Germany,48.13641000000007,11.577540000000056
56,Jakarta,Indonesia,-6.1744444,106.8294449
57,Beijing,China,39.9074977,116.3972244
58,St.Petersburg,Russian Federation,59.93319000000008,30.30609000000004
59,Brussels,Belgium,50.8465975,4.3527746
60,Jerusalem,Israel,31.7666667,35.2333336
61,Budapest,Hungary,47.5,19.083334
62,Lisbon,Portugal,38.7166667,-9.1333332
63,Dammam,Saudi Arabia,26.436830000000043,50.09083000000004
64,Penang Island,Malaysia,5.418710000000033,100.32516000000004
65,Heraklion,Greece,35.34245000000004,25.15334000000007
66,Kyoto,Japan,35.02107,135.7538452
67,Zhuhai,China,22.276940000000025,113.56778000000008
68,Vancouver,Canada,49.2496574,-123.119339
69,Chiang Mai,Thailand,18.7902778,98.9816666
70,Copenhagen,Denmark,55.6776812,12.5709343
71,SanFrancisco,Brazil,-8.98345999999998,-38.21677999999997
72,Melbourne,Australia,-37.8139966,144.9633179
73,Krakow,Poland,50.0833333,19.916666
74,Marrakech,Morocco,31.63,-8.0
75,Kolkatta,India,22.57059000000004,88.37133000000006
76,Cebu,Philippines,10.311210000000074,123.89237000000003
77,Auckland,New Zealand,-36.8666667,174.7666626
78,Tel Aviv,Israel,32.08413000000007,34.80863000000005
79,Guilin,China,25.2819444,110.2863922
80,Honolulu,United States,21.3069444,-157.8583374
81,Hurgada,Egypt,27.25738000000007,33.812910000000045
82,Warsaw,Poland,52.25,21.0
83,Mugla,Turkey,37.21563000000003,28.362880000000075
84,Buenos Aires,Argentina,-34.60848999999996,-58.37343999999996
85,Chiba,Japan,35.6,140.1166687
86,Frankfurt,Germany,50.11208000000005,8.683410000000038
87,Stockholm,Sweden,59.3325765,18.0649033
88,Lima,Peru,-12.05,-77.0500031
89,Da Nang,Vietnam,16.0677778,108.2208328
90,Batam,Indonesia,1.0890200000000618,104.03422000000006
91,Nice,France,43.7031261,7.2660828
92,Fukuoka,Japan,33.5833333,130.3999939
93,Abu Dhabi,United Arab Emirates,24.46918000000005,54.37173000000007
94,Jeju,Korea (the Republic of),33.50972000000007,126.52194000000009
95,Porto,Portugal,41.15,-8.6166668
96,Rhodes,Greece,36.448120000000074,28.22566000000006
97,Rio de Janeiro,Brazil,-22.9027778,-43.2075005
98,Krabi,Thailand,8.0666667,98.9166641
99,Bangalore,India,12.966180000000065,77.58690000000007
