rank,city,country,2017,2018,2019,2018Growth,2019Growth,2013–18Rank,2018–19Rank
1,Hong_Kong,China,27880.3,29262.7,26716.8,5.0%,-8.7%,0,0
2,Bangkok,Thailand,22453.9,24177.5,25847.8,7.7%,6.9%,0,0
3,London,United_Kingdom,19828.0,19233.0,19559.9,-3.0%,1.7%,0,2
4,Macau,China,17337.2,18931.4,20637.1,9.2%,9.0%,2,1
5,Singapore,Singapore,17618.8,18551.2,19760.8,5.3%,6.5%,1,1
6,Paris,France,15834.2,17560.2,19087.9,10.9%,8.7%,1,0
7,Dubai,United_Arab_Emirates,15790.0,15920.7,16328.3,0.8%,2.6%,0,0
8,New_York,US,13100.0,13600.0,14010.0,3.8%,3.0%,1,3
9,Kuala_Lumpur,Malaysia,12843.5,13434.3,14072.4,4.6%,4.8%,1,1
10,Istanbul,Turkey,10730.3,13433.0,14715.9,25.2%,9.6%,2,1
11,Delhi,India,10157.0,12645.3,15196.5,24.5%,20.2%,30,3
12,Antalya,Turkey,9482.4,12438.8,13332.1,31.2%,7.2%,1,0
13,Shenzhen,China,12075.1,12202.1,12324.1,1.1%,1.0%,5,1
14,Mumbai,India,8984.9,10590.1,12442.4,17.9%,17.5%,28,1
15,Phuket,Thailand,10109.4,10550.7,10965.2,4.4%,3.9%,0,0
16,Rome,Italy,9531.6,10065.4,10317.0,5.6%,2.5%,3,1
17,Tokyo,Japan,9549.4,9985.1,10443.1,4.6%,4.6%,15,1
18,Pattaya,Thailand,9137.0,9606.4,9951.9,5.1%,3.6%,1,2
19,Taipei_Taiwan,China,9273.3,9597.8,9981.7,3.5%,4.0%,1,0
20,Mecca,Saudi_Arabia,9800.0,9565.2,9833.0,-2.4%,2.8%,1,1
21,Guangzhou,China,9004.8,9004.8,9006.3,0.0%,0.0%,5,3
22,Prague,Czech_Republic,8806.7,8948.6,9150.9,1.6%,2.3%,3,0
23,Medina,Saudi_Arabia,8757.0,8547.2,8820.7,-2.4%,3.2%,1,4
24,Seoul,South_Korea,7659.1,8431.4,9105.9,10.1%,8.0%,10,1
25,Amsterdam,Netherlands,7848.0,8354.2,8835.4,6.5%,5.8%,3,1
26,Agra,India,6644.4,8138.2,10127.4,22.5%,24.4%,38,8
27,Miami,US,7798.1,8121.3,8336.8,4.1%,2.7%,7,2
28,Osaka,Japan,6605.9,7861.5,8998.9,19.0%,14.5%,69,3
29,Los_Angeles,US,7165.0,7500.0,7725.9,4.7%,3.0%,7,4
30,Shanghai,China,7193.3,7483.5,7745.5,4.0%,3.5%,7,2
31,Ho_Chi_Minh,Vietnam,6240.0,7200.0,8208.0,15.4%,14.0%,6,1
32,Denpasar,Indonesia,6238.3,7185.6,8582.8,15.2%,19.4%,13,4
33,Barcelona,Spain,6288.9,6714.5,7016.6,6.8%,4.5%,6,3
34,Las_Vegas,US,6687.8,6591.3,6639.3,-1.4%,0.7%,9,4
35,Milan,Italy,6347.9,6481.3,6604.4,2.1%,1.9%,9,5
36,Chennai,India,5086.3,6422.8,7930.1,26.3%,23.5%,7,5
37,Vienna,Austria,6186.4,6410.3,6634.7,3.6%,3.5%,8,2
38,Johor_Bahru,Malaysia,5571.4,6396.0,7227.4,14.8%,13.0%,8,3
